zone,Zone_name,postal_code
43.0,ΒΟΛΟΣ,37008
43.1,ΠΗΛΙΟ,37009
43.1,ΠΗΛΙΟ,37010
43.1,ΠΗΛΙΟ,37011
43.1,ΠΗΛΙΟ,37012
43.1,ΠΗΛΙΟ,37013
43.2,ΑΛΜΥΡΟΣ ΑΓΙΑ,37100
43.0,ΒΟΛΟΣ,37300
43.0,ΒΟΛΟΣ,37400
43.2,ΑΛΜΥΡΟΣ ΑΓΙΑ,37500
43.0,ΒΟΛΟΣ,38221
43.0,ΒΟΛΟΣ,38222
43.0,ΒΟΛΟΣ,38333
43.0,ΒΟΛΟΣ,38334
43.0,ΒΟΛΟΣ,38445
43.0,ΒΟΛΟΣ,38446
43.0,ΒΟΛΟΣ,38500
42.3,ΕΛΑΣΣΟΝΑ,40001
42.3,ΕΛΑΣΣΟΝΑ,40002
42.2,ΤΕΜΠΟΙ -ΑΓΙΑ,40003
42.2,ΤΕΜΠΟΙ -ΑΓΙΑ,40004
42.3,ΕΛΑΣΣΟΝΑ,40005
42.2,ΤΕΜΠΟΙ -ΑΓΙΑ,40006
42.2,ΤΕΜΠΟΙ -ΑΓΙΑ,40007
42.0,ΛΑΡΙΣΑ,40009
42.0,ΛΑΡΙΣΑ,40011
42.3,ΕΛΑΣΣΟΝΑ,40100
42.3,ΕΛΑΣΣΟΝΑ,40200
42.0,ΛΑΡΙΣΑ,40400
42.0,ΛΑΡΙΣΑ,41005
42.0,ΛΑΡΙΣΑ,41221
42.0,ΛΑΡΙΣΑ,41222
42.0,ΛΑΡΙΣΑ,41223
42.1,ΚΙΛΕΛΕΡ-ΦΑΡΣΑΛΑ,41300
42.0,ΛΑΡΙΣΑ,41334
42.0,ΛΑΡΙΣΑ,41335
42.0,ΛΑΡΙΣΑ,41336
42.0,ΛΑΡΙΣΑ,41447
42.0,ΛΑΡΙΣΑ,41448
42.1,ΚΙΛΕΛΕΡ-ΦΑΡΣΑΛΑ,41500
40.1,ΦΑΡΚΑΔΩΝΑ,42031
40.2,ΠΥΛΗ ΠΕΡΤΟΥΛΗ ΚΑΛΑΜΠΑΚΑ,42032
40.2,ΠΥΛΗ ΠΕΡΤΟΥΛΗ ΚΑΛΑΜΠΑΚΑ,42033
40.2,ΠΥΛΗ ΠΕΡΤΟΥΛΗ ΚΑΛΑΜΠΑΚΑ,42036
40.2,ΠΥΛΗ ΠΕΡΤΟΥΛΗ ΚΑΛΑΜΠΑΚΑ,42037
40.0,ΤΡΙΚΑΛΑ,42100
42.0,ΤΡΙΚΑΛΑ,42131
40.0,ΤΡΙΚΑΛΑ,42132
40.2,ΠΥΛΗ ΠΕΡΤΟΥΛΗ ΚΑΛΑΜΠΑΚΑ,42200
40.1,ΦΑΡΚΑΔΩΝΑ,42300
41.3,ΜΟΥΖΑΚΙ ΑΡΓΙΘΕΑ,43060
41.1,ΠΑΛΑΜΑΣ,43061
41.1,ΠΑΛΑΜΑΣ,43062
41.2,ΣΟΦΑΔΕΣ,43063
41.3,ΜΟΥΖΑΚΙ ΑΡΓΙΘΕΑ,43064
41.3,ΜΟΥΖΑΚΙ ΑΡΓΙΘΕΑ,43065
41.3,ΜΟΥΖΑΚΙ ΑΡΓΙΘΕΑ,43066
41.3,ΜΟΥΖΑΚΙ ΑΡΓΙΘΕΑ,43067
41.2,ΣΟΦΑΔΕΣ,43068
41.1,ΠΑΛΑΜΑΣ,43070
41.0,ΚΑΡΔΙΤΣΑ,43100
41.0,ΚΑΡΔΙΤΣΑ,43131
41.0,ΚΑΡΔΙΤΣΑ,43132
41.1,ΠΑΛΑΜΑΣ,43200
41.2,ΣΟΦΑΔΕΣ,43300
90.0,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,49080
90.1,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,49081
90.2,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,49083
90.3,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,49084
90.4,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,49100
90.5,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,49131
90.5,ΚΕΡΚΥΡΑΣ ΚΕΡΚΥΡΑΣ,49132
22.2,ΣΙΑΤΙΣΤΑ ΚΟΖΑΝΗΣ,50001
22.1,ΣΕΡΒΙΑ ΚΟΖΑΝΗΣ,50004
21.0,ΚΑΣΤΟΡΙΑ,50007
22.0,ΚΟΖΑΝΗ,50100
22.0,ΚΟΖΑΝΗ,50131
22.0,ΚΟΖΑΝΗ,50132
22.0,ΚΟΖΑΝΗ,50200
22.2,ΣΙΑΤΙΣΤΑ ΚΟΖΑΝΗΣ,50300
22.1,ΣΕΡΒΙΑ ΚΟΖΑΝΗΣ,50400
22.1,ΣΕΡΒΙΑ ΚΟΖΑΝΗΣ,50500
23.0,ΓΡΕΒΕΝΑ,51030
23.0,ΓΡΕΒΕΝΑ,51032
23.0,ΓΡΕΒΕΝΑ,51100
23.0,ΓΡΕΒΕΝΑ,51200
21.0,ΚΑΣΤΟΡΙΑ,52050
21.0,ΚΑΣΤΟΡΙΑ,52051
21.0,ΚΑΣΤΟΡΙΑ,52052
21.0,ΚΑΣΤΟΡΙΑ,52053
21.0,ΚΑΣΤΟΡΙΑ,52055
21.0,ΚΑΣΤΟΡΙΑ,52056
21.0,ΚΑΣΤΟΡΙΑ,52057
21.0,ΚΑΣΤΟΡΙΑ,52058
21.0,ΚΑΣΤΟΡΙΑ,52059
21.0,ΚΑΣΤΟΡΙΑ,52100
21.0,ΚΑΣΤΟΡΙΑ,52200
20.0,ΑΜΥΝΤΑΙΟ,53070
20.0,ΑΜΥΝΤΑΙΟ,53071
20.0,ΑΜΥΝΤΑΙΟ,53072
20.0,ΑΜΥΝΤΑΙΟ,53073
20.0,ΑΜΥΝΤΑΙΟ,53074
20.0,ΑΜΥΝΤΑΙΟ,53075
20.0,ΑΜΥΝΤΑΙΟ,53076
20.0,ΑΜΥΝΤΑΙΟ,53077
20.0,ΑΜΥΝΤΑΙΟ,53100
15.0,ΒΕΡΟΙΑ,53131
20.0,ΑΜΥΝΤΑΙΟ,53200
14.0,ΓΙΑΝΝΙΤΣΑ   ΠΕΛΛΑ,58001
14.0,ΓΙΑΝΝΙΤΣΑ   ΠΕΛΛΑ,58002
14.0,ΓΙΑΝΝΙΤΣΑ   ΠΕΛΛΑ,58004
14.0,ΓΙΑΝΝΙΤΣΑ   ΠΕΛΛΑ,58005
14.0,ΓΙΑΝΝΙΤΣΑ   ΠΕΛΛΑ,58100
14.0,ΓΙΑΝΝΙΤΣΑ   ΠΕΛΛΑ,58200
14.0,ΓΙΑΝΝΙΤΣΑ   ΠΕΛΛΑ,58300
14.0,ΓΙΑΝΝΙΤΣΑ   ΠΕΛΛΑ,58400
14.0,ΓΙΑΝΝΙΤΣΑ   ΠΕΛΛΑ,58500
15.0,ΒΕΡΟΙΑ,59031
15.1,ΝΑΟΥΣΑ,59034
15.1,ΝΑΟΥΣΑ,59035
15.0,ΒΕΡΟΙΑ,59132
15.0,ΒΕΡΟΙΑ,59150
15.1,ΝΑΟΥΣΑ,59200
15.0,ΒΕΡΟΙΑ,59300
16.1,ΔΙΟΝ   ΚΟΡΙΝΟΣ,60061
16.1,ΔΙΟΝ   ΚΟΡΙΝΟΣ,60062
16.1,ΔΙΟΝ   ΚΟΡΙΝΟΣ,60063
16.1,ΔΙΟΝ   ΚΟΡΙΝΟΣ,60064
16.1,ΔΙΟΝ   ΚΟΡΙΝΟΣ,60065
16.1,ΔΙΟΝ   ΚΟΡΙΝΟΣ,60066
16.0,ΚΑΤΕΡΙΝΗ,60100
16.0,ΚΑΤΕΡΙΝΗ,60131
16.0,ΚΑΤΕΡΙΝΗ,60132
16.0,ΚΑΤΕΡΙΝΗ,60133
16.0,ΚΑΤΕΡΙΝΗ,60134
16.1,ΔΙΟΝ   ΚΟΡΙΝΟΣ,60200
16.0,ΚΑΤΕΡΙΝΗ,60300
11.0,ΚΙΛΚΙΣ,61002
11.0,ΚΙΛΚΙΣ,61003
11.0,ΚΙΛΚΙΣ,61007
11.0,ΚΙΛΚΙΣ,61100
11.0,ΚΙΛΚΙΣ,61200
11.0,ΚΙΛΚΙΣ,61300
11.0,ΚΙΛΚΙΣ,61400
10.2,ΣΕΡΡΩΝ -ΑΜΦΙΠΟΛΗΣ,62041
10.1,ΣΕΡΡΩΝ- ΝΕΑ ΖΙΧΝΗ,62042
10.3,ΣΕΡΡΩΝ - ΣΙΝΤΙΚΗΣ,62043
10.2,ΣΕΡΡΩΝ -ΑΜΦΙΠΟΛΗΣ,62047
10.3,ΣΕΡΡΩΝ - ΣΙΝΤΙΚΗΣ,62053
10.3,ΣΕΡΡΩΝ - ΗΡΑΚΛΕΙΑΣ,62054
10.3,ΣΕΡΡΩΝ - ΣΙΝΤΙΚΗΣ,62055
10.0,ΣΕΡΡΩΝ - ΣΕΡΡΕΣ,62121
10.0,ΣΕΡΡΩΝ - ΣΕΡΡΕΣ,62122
10.0,ΣΕΡΡΩΝ - ΣΕΡΡΕΣ,62123
10.0,ΣΕΡΡΩΝ - ΣΕΡΡΕΣ,62124
10.0,ΣΕΡΡΩΝ - ΣΕΡΡΕΣ,62125
10.2,ΣΕΡΡΩΝ - ΒΙΣΑΛΤΙΑ,62200
10.3,ΣΕΡΡΩΝ - ΣΙΝΤΙΚΗΣ,62300
10.3,ΣΕΡΡΩΝ- ΗΡΑΚΛΕΙΑΣ,62400
10.0,ΣΕΡΡΩΝ - ΣΕΡΡΕΣ,62500
13.1,ΧΑΛΚΙΔΙΚΗ ΠΟΛΥΓΥΡΟΣ 2ΠΟΔΙ,63071
13.1,ΧΑΛΚΙΔΙΚΗ ΠΟΛΥΓΥΡΟΣ 2ΠΟΔΙ,63072
13.1,ΧΑΛΚΙΔΙΚΗ ΠΟΛΥΓΥΡΟΣ 2ΠΟΔΙ,63073
13.2,ΧΑΛΚΙΔΙΚΗ 3 ΠΟΔΙ,63074
13.2,ΧΑΛΚΙΔΙΚΗ 3 ΠΟΔΙ,63075
13.2,ΧΑΛΚΙΔΙΚΗ 3 ΠΟΔΙ,63076
13.0,ΧΑΛΚΙΔΙΚΗ 1 ΠΟΔΙ,63077
13.1,ΧΑΛΚΙΔΙΚΗ ΠΟΛΥΓΥΡΟΣ 2ΠΟΔΙ,63078
13.0,ΧΑΛΚΙΔΙΚΗ 1 ΠΟΔΙ,63079
13.0,ΧΑΛΚΙΔΙΚΗ 1 ΠΟΔΙ,63080
13.1,ΧΑΛΚΙΔΙΚΗ ΠΟΛΥΓΥΡΟΣ 2ΠΟΔΙ,63081
13.2,ΧΑΛΚΙΔΙΚΗ 3 ΠΟΔΙ,63082
13.1,ΧΑΛΚΙΔΙΚΗ ΠΟΛΥΓΥΡΟΣ 2ΠΟΔΙ,63084
13.0,ΧΑΛΚΙΔΙΚΗ 1 ΠΟΔΙ,63085
13.2,ΧΑΛΚΙΔΙΚΗ 3 ΠΟΔΙ,63086
13.2,ΧΑΛΚΙΔΙΚΗ 3 ΠΟΔΙ,63087
13.1,ΧΑΛΚΙΔΙΚΗ ΠΟΛΥΓΥΡΟΣ 2ΠΟΔΙ,63088
13.1,ΧΑΛΚΙΔΙΚΗ ΠΟΛΥΓΥΡΟΣ 2ΠΟΔΙ,63100
13.0,ΧΑΛΚΙΔΙΚΗ 1 ΠΟΔΙ,63200
4.0,ΚΑΒΑΛΑ,64001
4.2,ΘΑΣΟΣ,64002
4.0,ΚΑΒΑΛΑ,64003
4.2,ΘΑΣΟΣ,64004
4.2,ΘΑΣΟΣ,64005
4.0,ΚΑΒΑΛΑ,64006
4.0,ΚΑΒΑΛΑ,64007
4.0,ΚΑΒΑΛΑ,64008
4.1,ΟΦΡΥΝΙΟ,64009
4.2,ΘΑΣΟΣ,64010
4.0,ΚΑΒΑΛΑ,64011
4.0,ΚΑΒΑΛΑ,64012
4.0,ΚΑΒΑΛΑ,64100
4.0,ΚΑΒΑΛΑ,64200
4.0,ΚΑΒΑΛΑ,65201
4.0,ΚΑΒΑΛΑ,65302
4.0,ΚΑΒΑΛΑ,65403
4.0,ΚΑΒΑΛΑ,65404
4.0,ΚΑΒΑΛΑ,65500
5.0,ΔΡΑΜΑ,66031
5.2,ΠΑΡΑΝΕΣΤΙ,66032
5.1,ΝΕΥΡΟΚΟΠΙ,66033
5.0,ΔΡΑΜΑ,66034
5.2,ΠΑΡΑΝΕΣΤΙ,66035
5.2,ΠΑΡΑΝΕΣΤΙ,66037
5.0,ΔΡΑΜΑ,66100
5.0,ΔΡΑΜΑ,66131
5.0,ΔΡΑΜΑ,66132
5.0,ΔΡΑΜΑ,66133
5.1,ΝΕΥΡΟΚΟΠΙ,66200
5.0,ΔΡΑΜΑ,66300
3.0,ΞΑΝΘΗ,67061
3.1,ΣΤΑΥΡΟΥΠΟΛΗ,67062
2.0,ΙΑΣΜΟΥ,67063
3.0,ΞΑΝΘΗ,67064
3.0,ΞΑΝΘΗ,67100
3.0,ΞΑΝΘΗ,67131
3.0,ΞΑΝΘΗ,67132
3.0,ΞΑΝΘΗ,67133
3.0,ΞΑΝΘΗ,67200
3.1,ΣΤΑΥΡΟΥΠΟΛΗ,67300
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,68001
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,68003
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,68004
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,68006
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,68007
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,68008
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,68010
1.0,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,68012
1.0,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,68013
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,68014
1.0,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,68100
1.0,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,68131
1.0,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,68132
1.0,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,68133
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,68200
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,68300
1.1,ΔΙΔΥΜΟΤΕΙΧΟ     ΟΡΕΣΤΙΑΔΑ,68400
1.0,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,68500
2.0,ΚΟΜΟΤΗΝΗΣ,69100
2.0,ΚΟΜΟΤΗΝΗΣ,69131
2.0,ΚΟΜΟΤΗΝΗΣ,69132
2.0,ΚΟΜΟΤΗΝΗΣ,69133
2.1,ΙΑΣΜΟΥ,69200
2.2,ΑΡΡΙΑΝΩΝ,69300
2.3,ΜΑΡΩΝΕΙΑΣ - ΣΑΠΩΝ,69400
2.4,ΑΡΡΙΑΝΩΝ,69500
120.0,ΗΡΑΚΛΕΙΟ 1,70001
120.4,ΗΡΑΚΛΕΙΟ 5,70002
120.4,ΗΡΑΚΛΕΙΟ 5,70003
120.2,ΗΡΑΚΛΕΙΟ 3,70004
120.1,ΗΡΑΚΛΕΙΟ 2,70005
120.2,ΗΡΑΚΛΕΙΟ 3,70006
120.1,ΗΡΑΚΛΕΙΟ 2,70007
120.2,ΗΡΑΚΛΕΙΟ 3,70008
120.3,ΗΡΑΚΛΕΙΟ 4,70010
120.3,ΗΡΑΚΛΕΙΟ 4,70011
120.4,ΗΡΑΚΛΕΙΟ 5,70012
120.0,ΗΡΑΚΛΕΙΟ 1,70013
120.1,ΗΡΑΚΛΕΙΟ 2,70014
120.4,ΗΡΑΚΛΕΙΟ 5,70016
120.3,ΗΡΑΚΛΕΙΟ 4,70100
120.4,ΗΡΑΚΛΕΙΟ 5,70200
120.2,ΗΡΑΚΛΕΙΟ 3,70300
120.4,ΗΡΑΚΛΕΙΟ 5,70400
120.5,ΗΡΑΚΛΕΙΟ 6,71201
120.5,ΗΡΑΚΛΕΙΟ 6,71202
120.5,ΗΡΑΚΛΕΙΟ 6,71303
120.5,ΗΡΑΚΛΕΙΟ 6,71304
120.5,ΗΡΑΚΛΕΙΟ 6,71305
120.5,ΗΡΑΚΛΕΙΟ 6,71306
120.5,ΗΡΑΚΛΕΙΟ 6,71307
120.5,ΗΡΑΚΛΕΙΟ 6,71409
120.5,ΗΡΑΚΛΕΙΟ 6,71410
120.5,ΗΡΑΚΛΕΙΟ 6,71414
120.0,ΗΡΑΚΛΕΙΟ 1,71500
120.5,ΗΡΑΚΛΕΙΟ 6,71601
123.0,ΛΑΣΙΘΗ 1,72051
123.0,ΛΑΣΙΘΗ 1,72052
123.0,ΛΑΣΙΘΗ 1,72053
123.1,ΛΑΣΙΘΗ 2,72055
123.0,ΛΑΣΙΘΗ 1,72056
123.1,ΛΑΣΙΘΗ 2,72057
123.1,ΛΑΣΙΘΗ 2,72059
123.2,ΛΑΣΙΘΗ 3,72100
123.2,ΛΑΣΙΘΗ 3,72200
123.1,ΛΑΣΙΘΗ 2,72300
123.2,ΛΑΣΙΘΗ 3,72400
122.0,ΧΑΝΙΑ 1,73001
122.0,ΧΑΝΙΑ 1,73002
122.1,ΧΑΝΙΑ 2,73003
122.0,ΧΑΝΙΑ 1,73004
122.0,ΧΑΝΙΑ 1,73005
122.0,ΧΑΝΙΑ 1,73006
122.1,ΧΑΝΙΑ 2,73007
122.1,ΧΑΝΙΑ 2,73008
122.0,ΧΑΝΙΑ 1,73009
122.1,ΧΑΝΙΑ 2,73011
122.0,ΧΑΝΙΑ 1,73012
122.0,ΧΑΝΙΑ 1,73014
122.1,ΧΑΝΙΑ 2,73100
122.2,ΧΑΝΙΑ 3,73131
122.2,ΧΑΝΙΑ 3,73132
122.2,ΧΑΝΙΑ 3,73133
122.2,ΧΑΝΙΑ 3,73134
122.2,ΧΑΝΙΑ 3,73135
122.2,ΧΑΝΙΑ 3,73136
122.2,ΧΑΝΙΑ 3,73200
122.2,ΧΑΝΙΑ 3,73300
122.0,ΧΑΝΙΑ 1,73400
121.0,ΡΕΘΥΜΝΟ 1,74051
121.0,ΡΕΘΥΜΝΟ 1,74052
121.1,ΡΕΘΥΜΝΟ 2,74053
121.0,ΡΕΘΥΜΝΟ 1,74054
121.1,ΡΕΘΥΜΝΟ 2,74055
122.1,ΧΑΝΙΑ 2,74055
121.0,ΡΕΘΥΜΝΟ 1,74057
121.1,ΡΕΘΥΜΝΟ 2,74058
121.1,ΡΕΘΥΜΝΟ 2,74060
121.0,ΡΕΘΥΜΝΟ 1,74061
121.1,ΡΕΘΥΜΝΟ 2,74100
150.1,ΣΑΛΑΜΙΝΑ,18900
150.1,ΣΑΛΑΜΙΝΑ,18901
150.1,ΣΑΛΑΜΙΝΑ,18902
150.1,ΣΑΛΑΜΙΝΑ,18903
null,null,null
null,null,null
